DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,25-211,CHI,AWAY,CHO,L (-1),0,10:56,2,3,.667,2,2,1.000,0,0,,3,0,3,1,1,0,0,1,6,8.1,-11
2019-10-25,25-213,CHI,AWAY,MEM,W (+8),0,14:41,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,0,0,0.2,-2
2019-10-26,25-214,CHI,HOME,TOR,L (-24),0,17:45,2,2,1.000,1,1,1.000,1,1,1.000,1,1,2,4,1,0,0,2,6,9.4,+1
2019-10-28,25-216,CHI,AWAY,NYK,L (-7),0,15:55,2,3,.667,1,2,.500,0,0,,0,3,3,2,0,0,1,2,5,4.2,-6
2019-10-30,25-218,CHI,AWAY,CLE,L (-6),0,16:06,0,2,.000,0,2,.000,2,2,1.000,0,0,0,1,0,0,0,1,2,0.9,0
2019-11-01,25-220,CHI,HOME,DET,W (+6),0,15:46,2,6,.333,2,4,.500,0,0,,0,0,0,3,0,0,0,1,6,4.3,-4
2019-11-03,25-222,CHI,AWAY,IND,L (-13),0,17:24,1,4,.250,1,2,.500,3,4,.750,0,2,2,1,1,1,0,6,6,3.8,-4
2019-11-05,25-224,CHI,HOME,LAL,L (-6),0,1:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5
2019-11-06,25-225,CHI,AWAY,ATL,W (+20),0,18:20,1,1,1.000,0,0,,2,2,1.000,0,1,1,1,1,0,0,1,4,5.3,0
2019-11-09,25-228,CHI,HOME,HOU,L (-23),0,15:54,1,4,.250,0,1,.000,0,0,,1,3,4,1,1,0,2,3,2,-0.3,-3
2019-11-12,25-231,CHI,HOME,NYK,W (+18),0,21:10,1,3,.333,0,1,.000,3,4,.750,0,3,3,8,2,0,1,3,5,9.2,+23
2019-11-14,25-233,CHI,AWAY,MIL,L (-9),0,23:42,2,6,.333,1,3,.333,2,4,.500,0,1,1,3,0,0,0,4,7,3.6,-5
2019-11-16,25-235,CHI,HOME,BRK,L (-6),0,18:09,2,6,.333,2,5,.400,0,0,,0,0,0,2,0,0,1,3,6,1.8,+1
2019-11-18,25-237,CHI,HOME,MIL,L (-14),0,27:15,4,7,.571,4,5,.800,0,0,,1,2,3,2,1,0,2,2,12,9.6,+3
2019-11-20,25-239,CHI,HOME,DET,W (+20),0,20:57,3,6,.500,2,4,.500,1,2,.500,2,1,3,2,0,0,1,2,9,6.9,+7
2019-11-22,25-241,CHI,HOME,MIA,L (-8),0,24:39,4,7,.571,2,5,.400,0,0,,1,1,2,0,0,0,0,3,10,6.5,+5
2019-11-23,25-242,CHI,AWAY,CHO,W (+1),0,24:03,0,4,.000,0,4,.000,0,0,,1,1,2,2,2,0,0,2,0,0.8,-1
2019-11-25,25-244,CHI,HOME,POR,L (-23),0,8:31,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,-0.8,-10
2019-11-27,25-246,CHI,AWAY,GSW,L (-14),0,13:04,1,3,.333,0,0,,0,0,,0,1,1,1,1,0,2,1,2,-0.1,-19
2019-11-29,25-248,CHI,AWAY,POR,L (-4),0,15:06,1,4,.250,1,2,.500,0,0,,0,0,0,2,0,0,2,4,3,-1.6,+1
2019-12-02,25-251,CHI,AWAY,SAC,W (+7),0,12:01,1,2,.500,1,2,.500,1,1,1.000,0,0,0,1,1,0,3,2,4,0.9,+10
2019-12-04,25-253,CHI,HOME,MEM,W (+7),0,14:46,1,4,.250,1,3,.333,0,0,,1,3,4,1,0,1,1,0,3,2.6,+7
2019-12-06,25-255,CHI,HOME,GSW,L (-2),0,15:41,1,4,.250,1,4,.250,0,0,,2,0,2,1,0,0,1,3,3,0.5,-4
2019-12-08,25-257,CHI,AWAY,MIA,L (-5),0,6:51,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,0.0,-1
2019-12-09,25-258,CHI,HOME,TOR,L (-1),0,3:38,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,-4
2019-12-11,25-260,CHI,HOME,ATL,W (+34),0,16:41,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,3,0,-1.3,+8
2019-12-13,25-262,CHI,HOME,CHO,L (-10),0,21:16,4,7,.571,2,4,.500,2,2,1.000,1,2,3,1,1,0,0,2,12,10.9,-2
2019-12-14,25-263,CHI,HOME,LAC,W (+3),0,11:54,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-7
2019-12-16,25-265,CHI,AWAY,OKC,L (-3),0,11:11,5,6,.833,2,2,1.000,0,0,,0,0,0,2,1,0,0,1,12,11.8,-6
2019-12-18,25-267,CHI,AWAY,WAS,W (+1),0,14:04,1,3,.333,0,2,.000,0,0,,0,4,4,3,0,0,1,0,2,2.6,-2
2019-12-21,25-270,CHI,AWAY,DET,W (+12),0,5:58,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,0,0,3,4.4,-4
2019-12-23,25-272,CHI,AWAY,ORL,L (-8),0,16:26,1,3,.333,1,1,1.000,1,2,.500,0,5,5,1,0,0,0,0,4,4.1,+1
2019-12-28,25-277,CHI,HOME,ATL,W (+35),0,6:06,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,+9
2019-12-30,25-279,CHI,HOME,MIL,L (-21),0,13:41,1,2,.500,0,0,,0,0,,0,3,3,2,0,0,0,1,2,2.9,-8
2020-01-08,25-288,CHI,AWAY,NOP,L (-15),0,13:05,2,4,.500,1,2,.500,0,0,,0,2,2,1,0,0,1,2,5,2.5,-9
2020-01-11,25-291,CHI,AWAY,DET,W (+9),0,17:52,2,2,1.000,2,2,1.000,0,0,,0,0,0,3,2,0,1,1,6,8.1,+3
2020-01-13,25-293,CHI,AWAY,BOS,L (-12),0,13:25,0,2,.000,0,2,.000,0,0,,0,3,3,0,0,0,0,2,0,-1.3,-7
2020-01-15,25-295,CHI,HOME,WAS,W (+9),0,17:17,0,2,.000,0,2,.000,0,0,,0,2,2,2,0,0,1,3,0,-1.6,-8
2020-01-17,25-297,CHI,AWAY,PHI,L (-11),0,13:54,2,6,.333,1,3,.333,0,0,,0,3,3,1,0,0,1,2,5,1.4,+7
2020-01-18,25-298,CHI,HOME,CLE,W (+2),0,4:57,1,3,.333,0,1,.000,0,0,,0,1,1,0,1,0,0,0,2,1.6,+2
2020-01-20,25-300,CHI,AWAY,MIL,L (-13),0,12:00,2,5,.400,0,3,.000,0,0,,0,0,0,1,1,0,1,3,4,0.8,+1
2020-01-22,25-302,CHI,HOME,MIN,W (+7),0,14:40,0,2,.000,0,0,,1,1,1.000,0,1,1,4,0,0,0,2,1,1.9,+4
2020-01-24,25-304,CHI,HOME,SAC,L (-17),0,12:53,1,2,.500,1,2,.500,0,0,,0,2,2,1,0,0,0,2,3,2.5,-6
2020-01-25,25-305,CHI,AWAY,CLE,W (+12),0,12:11,3,5,.600,3,5,.600,0,1,.000,0,0,0,0,0,0,0,2,9,5.5,-6
2020-01-27,25-307,CHI,HOME,SAS,W (+1),0,4:57,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+4
