DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,24-322,BOS,AWAY,PHI,L (-14),0,9:45,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-1
2019-10-25,24-324,BOS,HOME,TOR,W (+6),0,4:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0
2019-10-26,24-325,BOS,AWAY,NYK,W (+23),0,14:34,1,1,1.000,0,0,,0,1,.000,0,1,1,2,0,0,0,1,2,2.6,+1
2019-10-30,24-329,BOS,HOME,MIL,W (+11),0,19:50,1,3,.333,0,1,.000,1,2,.500,1,4,5,0,1,0,0,1,3,3.4,+11
2019-11-01,24-331,BOS,HOME,NYK,W (+2),0,15:54,0,2,.000,0,2,.000,2,2,1.000,0,0,0,0,0,0,0,2,2,-0.2,-4
2019-11-05,24-335,BOS,AWAY,CLE,W (+6),0,7:43,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,0
2019-11-07,24-337,BOS,AWAY,CHO,W (+21),0,4:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
2019-11-09,24-339,BOS,AWAY,SAS,W (+20),0,2:23,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
2019-11-11,24-341,BOS,HOME,DAL,W (+10),0,5:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-4
2019-11-13,24-343,BOS,HOME,WAS,W (+7),0,10:35,2,4,.500,1,1,1.000,0,0,,1,2,3,0,0,0,0,2,5,3.5,-3
2019-11-15,24-345,BOS,AWAY,GSW,W (+5),0,4:14,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2,2.0,-7
2019-11-17,24-347,BOS,AWAY,SAC,L (-1),0,21:09,4,5,.800,3,4,.750,0,0,,1,1,2,1,2,0,1,1,11,11.4,+6
2019-11-18,24-348,BOS,AWAY,PHO,W (+14),0,17:34,1,2,.500,1,1,1.000,0,0,,0,1,1,0,1,0,0,0,3,3.3,-2
2019-11-20,24-350,BOS,AWAY,LAC,L (-3),0,6:06,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,-1.2,+2
2019-11-22,24-352,BOS,AWAY,DEN,L (-4),0,20:33,1,5,.200,0,3,.000,0,0,,0,4,4,0,1,0,1,1,2,-0.3,-5
2019-11-25,24-355,BOS,HOME,SAC,W (+1),1,27:29,3,6,.500,1,4,.250,0,0,,0,2,2,1,0,0,0,1,7,4.9,+10
2019-11-27,24-357,BOS,HOME,BRK,W (+11),0,22:01,1,6,.167,1,4,.250,0,0,,1,2,3,1,0,1,0,2,3,1.1,+2
2019-11-29,24-359,BOS,AWAY,BRK,L (-5),0,15:37,2,2,1.000,1,1,1.000,2,3,.667,0,0,0,0,0,0,1,1,7,4.6,-3
2019-12-01,24-361,BOS,AWAY,NYK,W (+9),0,19:25,2,3,.667,1,2,.500,0,0,,1,2,3,1,0,0,0,2,5,4.9,+12
2019-12-04,24-364,BOS,HOME,MIA,W (+19),0,24:26,1,3,.333,1,2,.500,2,2,1.000,2,5,7,0,1,0,1,2,5,5.4,+21
2019-12-06,25-001,BOS,HOME,DEN,W (+13),0,28:40,1,4,.250,1,4,.250,0,0,,0,4,4,1,0,0,0,3,3,1.3,+15
2019-12-09,25-004,BOS,HOME,CLE,W (+22),0,23:25,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,4,0,0,3,3,6.1,-11
2019-12-11,25-006,BOS,AWAY,IND,L (-5),0,23:59,0,1,.000,0,1,.000,0,0,,1,0,1,2,0,0,0,1,0,1.0,-10
2019-12-12,25-007,BOS,HOME,PHI,L (-6),0,23:31,0,2,.000,0,2,.000,0,0,,0,6,6,1,0,1,0,2,0,1.0,-5
2019-12-18,25-013,BOS,AWAY,DAL,W (+6),1,20:11,1,3,.333,1,3,.333,0,0,,1,3,4,1,0,0,0,2,3,2.8,-3
2019-12-20,25-015,BOS,HOME,DET,W (+21),1,18:19,1,3,.333,1,2,.500,0,0,,1,1,2,0,1,0,0,0,3,3.3,+7
2019-12-22,25-017,BOS,HOME,CHO,W (+26),1,11:01,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,0,1,2,5,2.2,-3
2019-12-25,25-020,BOS,AWAY,TOR,W (+16),0,7:00,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-0.7,-12
2019-12-27,25-022,BOS,HOME,CLE,W (+12),0,4:34,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-10
2019-12-31,25-026,BOS,AWAY,CHO,W (+17),0,20:40,2,5,.400,2,3,.667,0,0,,0,1,1,1,1,0,0,1,6,4.9,+8
2020-01-04,25-030,BOS,AWAY,CHI,W (+7),0,7:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+7
2020-01-06,25-032,BOS,AWAY,WAS,L (-5),0,4:01,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
2020-01-08,25-034,BOS,HOME,SAS,L (-15),0,5:26,2,4,.500,1,2,.500,2,2,1.000,1,1,2,1,0,0,0,0,7,6.7,+6
2020-01-09,25-035,BOS,AWAY,PHI,L (-11),0,20:46,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,2,0,-1.5,+8
2020-01-11,25-037,BOS,HOME,NOP,W (+35),0,12:00,2,3,.667,1,1,1.000,0,0,,1,2,3,0,0,0,0,0,5,5.0,+3
2020-01-13,25-039,BOS,HOME,CHI,W (+12),0,12:57,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,0
2020-01-15,25-041,BOS,HOME,DET,L (-13),0,6:57,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,2,2,-0.5,-4
2020-01-16,25-042,BOS,AWAY,MIL,L (-5),0,19:51,2,5,.400,2,4,.500,0,0,,1,0,1,2,0,0,0,3,6,4.2,+7
2020-01-18,25-044,BOS,HOME,PHO,L (-4),0,9:02,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+1
2020-01-20,25-046,BOS,HOME,LAL,W (+32),0,19:29,1,4,.250,1,1,1.000,2,2,1.000,2,3,5,0,0,1,0,0,5,5.6,+4
2020-01-22,25-048,BOS,HOME,MEM,W (+24),0,14:37,3,4,.750,1,2,.500,0,0,,0,2,2,1,0,0,0,0,7,6.7,+9
2020-01-24,25-050,BOS,AWAY,ORL,W (+11),0,23:52,1,4,.250,1,3,.333,0,0,,0,3,3,0,0,0,0,1,3,1.1,-4
2020-01-26,25-052,BOS,AWAY,NOP,L (-15),0,14:41,1,2,.500,0,1,.000,0,0,,1,0,1,1,1,0,1,1,2,2.0,-8
2020-01-28,25-054,BOS,AWAY,MIA,W (+8),0,20:13,3,4,.750,0,1,.000,1,1,1.000,1,2,3,2,1,0,1,1,7,7.7,-9
2020-01-30,25-056,BOS,HOME,GSW,W (+15),0,29:24,3,5,.600,1,3,.333,2,2,1.000,1,3,4,1,2,0,0,2,9,10.2,+14
2020-02-01,25-058,BOS,HOME,PHI,W (+21),0,24:21,2,3,.667,1,2,.500,6,6,1.000,1,4,5,0,1,0,0,4,11,11.0,-11
2020-02-03,25-060,BOS,AWAY,ATL,W (+8),0,12:28,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,1,0,1,0,-1.5,-11
