DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-22,30-034,TOR,HOME,NOP,W (+8),0,26:00,4,10,.400,0,1,.000,5,6,.833,2,3,5,0,1,0,3,2,13,6.7,+6
2019-10-25,30-037,TOR,AWAY,BOS,L (-6),0,24:14,5,5,1.000,1,1,1.000,2,4,.500,0,8,8,1,0,3,2,3,13,12.7,-10
2019-10-26,30-038,TOR,AWAY,CHI,W (+24),0,20:51,8,12,.667,1,2,.500,1,1,1.000,2,5,7,0,0,3,2,3,18,14.6,-4
2019-10-28,30-040,TOR,HOME,ORL,W (+9),0,21:33,3,10,.300,1,5,.200,2,2,1.000,1,9,10,0,0,0,4,3,9,1.4,-10
2019-10-30,30-042,TOR,HOME,DET,W (+12),0,31:59,9,15,.600,1,2,.500,0,0,,0,6,6,2,2,0,3,3,19,13.1,+7
2019-11-02,30-045,TOR,AWAY,MIL,L (-10),0,22:25,3,10,.300,0,1,.000,5,6,.833,1,3,4,1,0,4,1,2,11,8.1,-5
2019-11-06,30-049,TOR,HOME,SAC,W (+4),0,23:34,9,16,.563,1,4,.250,2,2,1.000,0,6,6,2,2,0,1,2,21,16.8,-2
2019-11-08,30-051,TOR,AWAY,NOP,W (+18),0,12:20,3,6,.500,0,0,,2,2,1.000,1,5,6,0,0,0,1,1,8,5.8,+9
2019-12-01,30-074,TOR,HOME,UTA,W (+20),0,20:52,5,14,.357,2,5,.400,1,1,1.000,1,3,4,3,1,0,3,4,13,5.3,+7
2019-12-03,30-076,TOR,HOME,MIA,L (-11),0,22:00,4,8,.500,2,3,.667,3,4,.750,3,6,9,0,0,1,2,3,13,10.0,-4
2019-12-05,30-078,TOR,HOME,HOU,L (-10),0,17:22,4,10,.400,0,2,.000,2,2,1.000,3,2,5,2,0,0,2,3,10,5.5,-19
2019-12-08,30-081,TOR,AWAY,PHI,L (-6),0,27:46,5,15,.333,2,5,.400,0,1,.000,3,4,7,3,0,0,3,6,12,3.1,-2
