DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-24,24-256,MIL,AWAY,HOU,W (+6),0,5:41,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,0,2,2,0.1,+1
2019-10-26,24-258,MIL,HOME,MIA,L (-5),0,0:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2019-11-01,24-264,MIL,AWAY,ORL,W (+32),0,21:25,3,5,.600,1,3,.333,2,3,.667,1,10,11,2,0,0,2,1,9,9.0,+26
2019-11-02,24-265,MIL,HOME,TOR,W (+10),0,13:15,3,4,.750,3,3,1.000,0,0,,2,1,3,0,0,0,1,1,9,7.7,+1
2019-11-04,24-267,MIL,AWAY,MIN,W (+28),0,3:38,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
2019-11-08,24-271,MIL,AWAY,UTA,L (-3),0,22:33,3,8,.375,0,3,.000,1,2,.500,3,5,8,1,2,1,0,1,7,8.8,+1
2019-11-10,24-273,MIL,AWAY,OKC,W (+2),0,18:10,5,9,.556,1,2,.500,1,1,1.000,0,3,3,1,2,0,2,1,12,8.9,-18
2019-11-14,24-277,MIL,HOME,CHI,W (+9),0,20:47,0,5,.000,0,2,.000,0,0,,0,9,9,0,1,0,2,1,0,-2.2,+10
2019-11-16,24-279,MIL,AWAY,IND,W (+19),0,25:53,4,9,.444,2,5,.400,0,0,,0,6,6,4,0,0,0,2,10,9.1,+14
2019-11-18,24-281,MIL,AWAY,CHI,W (+14),0,24:31,2,6,.333,2,4,.500,2,3,.667,1,4,5,6,1,0,0,0,8,11.3,+28
2019-11-20,24-283,MIL,AWAY,ATL,W (+8),0,19:38,2,4,.500,2,3,.667,2,2,1.000,0,4,4,2,0,1,1,4,8,6.7,+5
2019-11-21,24-284,MIL,HOME,POR,W (+8),0,18:15,3,5,.600,2,3,.667,0,0,,2,4,6,1,0,0,2,2,8,6.2,+4
2019-11-23,24-286,MIL,HOME,DET,W (+14),0,22:12,2,5,.400,1,4,.250,2,2,1.000,1,9,10,2,1,0,4,2,7,5.3,+23
2019-11-25,24-288,MIL,HOME,UTA,W (+4),0,25:43,2,9,.222,1,6,.167,0,0,,1,2,3,2,0,0,0,2,5,1.4,+9
