DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,34-121,NYK,AWAY,SAS,L (-9),0,14:55,1,5,.200,0,1,.000,0,0,,2,2,4,0,0,0,2,2,2,-1.9,-4
2019-10-25,34-123,NYK,AWAY,BRK,L (-4),0,13:59,1,2,.500,0,0,,0,0,,1,3,4,2,1,0,1,2,2,3.2,-2
2019-10-26,34-124,NYK,HOME,BOS,L (-23),0,5:12,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,-4
2019-10-28,34-126,NYK,HOME,CHI,W (+7),0,6:40,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,0.3,-1
2019-10-30,34-128,NYK,AWAY,ORL,L (-12),0,8:44,2,4,.500,0,0,,0,0,,0,1,1,0,0,1,1,1,4,1.6,+2
2019-11-06,34-135,NYK,AWAY,DET,L (-20),0,21:37,3,4,.750,0,0,,0,0,,0,4,4,4,0,0,0,3,6,7.2,-6
2019-11-08,34-137,NYK,AWAY,DAL,W (+4),1,27:41,5,6,.833,0,0,,2,4,.500,4,4,8,1,1,0,1,5,12,11.7,-5
2019-11-10,34-139,NYK,HOME,CLE,L (-21),1,17:09,2,6,.333,0,0,,0,0,,4,1,5,2,2,0,3,4,4,2.5,-16
2019-11-12,34-141,NYK,AWAY,CHI,L (-18),1,25:43,8,10,.800,0,0,,1,1,1.000,2,3,5,2,2,0,0,4,17,17.3,-6
2019-11-14,34-143,NYK,HOME,DAL,W (+3),1,15:01,2,4,.500,0,0,,0,0,,2,4,6,2,0,0,1,4,4,3.4,-4
2019-11-16,34-145,NYK,HOME,CHO,L (-1),1,21:20,4,7,.571,0,1,.000,1,1,1.000,4,3,7,0,0,0,0,2,9,8.6,-1
2019-11-18,34-147,NYK,HOME,CLE,W (+18),1,15:45,2,6,.333,0,0,,3,4,.750,6,2,8,1,0,0,0,3,7,7.5,+17
2019-11-20,34-149,NYK,AWAY,PHI,L (-5),1,13:40,5,6,.833,1,1,1.000,0,0,,0,4,4,1,0,0,1,2,11,8.9,+7
2019-11-23,34-152,NYK,HOME,SAS,L (-7),1,10:28,0,0,,0,0,,0,0,,2,1,3,1,1,0,1,2,0,1.6,-9
2019-11-24,34-153,NYK,HOME,BRK,L (-2),1,20:13,4,5,.800,0,0,,0,1,.000,4,4,8,1,1,0,0,3,8,10.2,+6
2019-11-27,34-156,NYK,AWAY,TOR,L (-28),1,14:52,1,5,.200,0,0,,0,0,,2,2,4,1,0,0,0,1,2,1.2,-15
2019-11-29,34-158,NYK,HOME,PHI,L (-6),1,17:20,2,5,.400,0,0,,0,0,,1,1,2,0,1,1,1,3,4,1.8,-4
2019-12-01,34-160,NYK,HOME,BOS,L (-9),1,19:38,2,6,.333,0,0,,0,0,,2,1,3,0,4,0,0,1,4,5.9,+2
2019-12-02,34-161,NYK,AWAY,MIL,L (-44),1,20:39,3,8,.375,1,3,.333,0,2,.000,3,7,10,1,0,2,2,2,7,5.3,-33
2019-12-05,34-164,NYK,HOME,DEN,L (-37),1,18:04,2,3,.667,0,1,.000,0,0,,1,1,2,2,0,1,0,1,4,5.4,-16
2019-12-07,34-166,NYK,HOME,IND,L (-1),1,15:26,1,2,.500,0,0,,0,0,,1,3,4,3,1,0,0,1,2,5.3,+1
2019-12-10,34-169,NYK,AWAY,POR,L (-28),1,16:20,0,2,.000,0,1,.000,0,0,,1,3,4,2,1,0,2,3,0,-0.6,-20
2019-12-11,34-170,NYK,AWAY,GSW,W (+2),1,13:47,0,1,.000,0,0,,0,0,,0,4,4,1,0,1,0,0,0,1.9,+3
2019-12-13,34-172,NYK,AWAY,SAC,W (+2),1,22:43,2,5,.400,0,0,,0,0,,2,5,7,2,1,2,1,4,4,5.4,-2
2019-12-15,34-174,NYK,AWAY,DEN,L (-6),1,16:10,3,6,.500,0,0,,0,0,,0,3,3,0,1,1,1,2,6,3.8,+7
2019-12-17,34-176,NYK,HOME,ATL,W (+23),1,18:46,1,2,.500,0,0,,0,0,,2,1,3,3,0,1,1,4,2,2.9,-2
2019-12-20,34-179,NYK,AWAY,MIA,L (-15),1,14:15,1,3,.333,0,0,,0,0,,3,4,7,0,1,0,1,0,2,3.6,-18
2019-12-21,34-180,NYK,HOME,MIL,L (-21),1,9:30,1,5,.200,0,0,,0,2,.000,2,1,3,0,0,0,1,1,2,-1.6,-23
2019-12-26,34-185,NYK,AWAY,BRK,W (+12),1,11:59,0,4,.000,0,0,,0,0,,1,3,4,1,0,0,1,2,0,-2.3,0
2019-12-28,34-187,NYK,AWAY,WAS,W (+7),1,12:54,2,2,1.000,0,0,,0,0,,1,2,3,0,0,2,2,3,4,2.9,-13
