DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,21-159,OKC,AWAY,UTA,L (-5),1,23:51,0,0,,0,0,,2,2,1.000,1,1,2,1,0,0,1,2,2,1.9,-9
2019-10-25,21-161,OKC,HOME,WAS,L (-12),1,22:03,0,4,.000,0,3,.000,0,0,,2,2,4,0,0,1,1,4,0,-2.7,+1
2019-10-27,21-163,OKC,HOME,GSW,W (+28),1,29:50,5,7,.714,3,4,.750,0,0,,0,2,2,4,0,0,1,2,13,11.7,+30
2019-10-28,21-164,OKC,AWAY,HOU,L (-4),1,18:39,0,1,.000,0,1,.000,0,0,,1,1,2,1,2,0,1,3,0,0.8,-24
2019-10-30,21-166,OKC,HOME,POR,L (-3),1,34:35,1,4,.250,0,2,.000,0,0,,0,3,3,0,1,1,1,3,2,0.0,-13
2019-11-02,21-169,OKC,HOME,NOP,W (+11),1,5:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,+3
2019-11-05,21-172,OKC,HOME,ORL,W (+8),1,22:45,2,3,.667,1,2,.500,0,0,,0,0,0,1,0,0,0,5,5,2.4,+10
2019-11-07,21-174,OKC,AWAY,SAS,L (-9),1,20:47,2,5,.400,1,2,.500,1,1,1.000,1,2,3,0,0,1,0,2,6,4.5,-8
2019-11-09,21-176,OKC,HOME,GSW,W (+6),1,20:27,3,4,.750,2,2,1.000,0,0,,1,1,2,2,0,0,1,4,8,6.2,-10
2019-11-10,21-177,OKC,HOME,MIL,L (-2),1,24:07,2,6,.333,1,5,.200,0,0,,0,1,1,1,0,1,0,1,5,2.9,-8
2019-11-15,21-182,OKC,HOME,PHI,W (+8),1,38:39,7,9,.778,5,7,.714,0,0,,0,1,1,2,1,0,0,3,19,17.0,+9
2019-11-18,21-185,OKC,AWAY,LAC,L (-2),1,35:21,2,5,.400,1,4,.250,0,0,,4,3,7,0,2,0,1,4,5,5.4,-5
2019-11-19,21-186,OKC,AWAY,LAL,L (-5),1,30:36,1,7,.143,1,6,.167,0,0,,1,0,1,1,1,0,0,3,3,-0.3,-12
2019-11-22,21-189,OKC,HOME,LAL,L (-3),1,32:04,4,7,.571,3,5,.600,0,0,,0,2,2,3,0,0,2,4,11,6.8,-8
2019-11-25,21-192,OKC,AWAY,GSW,W (+3),1,27:17,3,7,.429,0,3,.000,0,0,,0,0,0,1,0,2,0,3,6,3.2,+8
2019-11-27,21-194,OKC,AWAY,POR,L (-17),1,25:13,2,7,.286,2,6,.333,3,4,.750,0,1,1,0,2,0,1,5,9,3.8,-33
2019-11-29,21-196,OKC,HOME,NOP,W (+5),1,23:19,1,4,.250,0,2,.000,1,2,.500,0,0,0,0,0,0,1,2,3,-1.6,-12
2019-12-01,21-198,OKC,AWAY,NOP,W (+3),1,30:19,1,5,.200,1,5,.200,0,0,,0,2,2,0,1,0,1,2,3,-0.3,+18
2019-12-04,21-201,OKC,HOME,IND,L (-7),1,31:46,3,7,.429,2,6,.333,0,0,,0,3,3,2,0,0,2,3,8,3.4,-8
2019-12-16,21-213,OKC,HOME,CHI,W (+3),1,29:00,4,7,.571,4,7,.571,0,0,,0,1,1,0,0,0,1,6,12,5.6,+1
2019-12-18,21-215,OKC,HOME,MEM,W (+4),1,25:41,1,3,.333,1,3,.333,0,0,,0,1,1,2,0,0,0,5,3,1.0,+6
2019-12-20,21-217,OKC,HOME,PHO,W (+18),1,18:55,1,2,.500,1,2,.500,0,0,,0,0,0,1,1,0,1,5,3,0.7,+9
2019-12-22,21-219,OKC,HOME,LAC,W (+6),1,28:36,0,4,.000,0,4,.000,0,0,,3,0,3,1,2,0,2,4,0,-1.6,+17
2019-12-26,21-223,OKC,HOME,MEM,L (-13),1,34:59,2,6,.333,2,6,.333,0,0,,1,2,3,2,1,0,1,3,6,4.1,-6
2019-12-27,21-224,OKC,AWAY,CHO,W (+2),1,29:07,0,3,.000,0,3,.000,0,0,,1,4,5,0,0,0,0,5,0,-2.2,-9
2019-12-29,21-226,OKC,AWAY,TOR,W (+1),1,35:30,0,5,.000,0,5,.000,0,0,,1,2,3,1,0,0,1,4,0,-4.1,0
2019-12-31,21-228,OKC,HOME,DAL,W (+5),1,17:30,0,3,.000,0,3,.000,0,0,,1,0,1,0,0,0,0,5,0,-3.4,-3
2020-01-02,21-230,OKC,AWAY,SAS,W (+6),1,28:40,1,2,.500,0,1,.000,0,0,,0,1,1,0,2,1,0,3,2,2.8,+14
2020-01-04,21-232,OKC,AWAY,CLE,W (+15),1,26:06,5,10,.500,3,8,.375,0,0,,1,0,1,1,0,0,1,2,13,7.6,+7
