DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,22-084,WAS,AWAY,DAL,L (-8),1,30:45,4,9,.444,0,2,.000,6,6,1.000,4,7,11,3,0,0,3,0,14,13.3,-16
2019-10-25,22-086,WAS,AWAY,OKC,W (+12),1,31:27,9,16,.563,3,7,.429,0,0,,4,7,11,2,2,3,2,0,21,21.8,+3
2019-10-26,22-087,WAS,AWAY,SAS,L (-2),1,30:25,4,11,.364,1,4,.250,1,2,.500,0,7,7,1,0,2,2,3,10,4.5,-6
2019-10-30,22-091,WAS,HOME,HOU,L (-1),1,34:18,5,10,.500,0,1,.000,3,4,.750,1,11,12,5,1,4,1,1,13,17.5,-6
2019-11-02,22-094,WAS,HOME,MIN,L (-22),1,19:47,1,6,.167,0,2,.000,1,2,.500,1,9,10,2,2,1,1,3,3,4.1,-27
2019-11-04,22-096,WAS,HOME,DET,W (+16),1,26:30,6,10,.600,1,2,.500,1,2,.500,2,5,7,1,0,1,2,5,14,9.3,-5
2019-11-06,22-098,WAS,AWAY,IND,L (-15),1,34:13,6,10,.600,1,2,.500,7,7,1.000,3,8,11,2,0,0,1,3,20,19.1,-11
2019-11-08,22-100,WAS,HOME,CLE,L (-13),1,33:35,11,16,.688,0,3,.000,1,2,.500,3,5,8,4,1,1,3,2,23,20.1,-8
2019-11-13,22-105,WAS,AWAY,BOS,L (-7),1,28:59,5,13,.385,0,2,.000,4,5,.800,4,3,7,1,0,2,0,4,14,10.7,-10
2019-11-15,22-107,WAS,AWAY,MIN,W (+21),1,22:35,5,9,.556,0,2,.000,2,2,1.000,5,4,9,2,0,0,1,4,12,11.2,+3
2019-11-17,22-109,WAS,AWAY,ORL,L (-4),1,27:36,6,10,.600,1,2,.500,1,1,1.000,2,4,6,4,0,1,0,4,14,13.9,-4
2019-11-20,22-112,WAS,HOME,SAS,W (+6),1,22:27,5,7,.714,1,1,1.000,0,0,,1,4,5,6,0,0,2,1,11,11.8,+3
2019-11-22,22-114,WAS,HOME,CHO,W (+7),1,34:23,9,12,.750,0,1,.000,3,5,.600,2,9,11,0,0,1,0,2,21,19.4,+21
2019-11-24,22-116,WAS,HOME,SAC,L (-7),1,28:24,7,10,.700,0,0,,0,2,.000,5,3,8,2,0,0,3,3,14,10.6,-1
2019-11-26,22-118,WAS,AWAY,DEN,L (-13),1,22:45,4,7,.571,0,1,.000,2,2,1.000,0,8,8,2,2,2,0,2,10,13.1,-14
2019-11-27,22-119,WAS,AWAY,PHO,W (+8),1,29:48,9,11,.818,2,2,1.000,3,3,1.000,1,8,9,5,0,0,1,2,23,23.7,+12
2019-11-29,22-121,WAS,AWAY,LAL,L (-22),1,22:04,2,6,.333,0,0,,1,2,.500,0,5,5,3,0,0,1,2,5,3.0,-23
2019-12-01,22-123,WAS,AWAY,LAC,L (-25),1,30:40,3,11,.273,0,1,.000,3,6,.500,4,4,8,3,0,0,1,3,9,5.2,-28
2020-01-12,22-165,WAS,HOME,UTA,L (-11),0,15:27,4,6,.667,0,0,,0,0,,2,1,3,1,0,0,0,2,8,7.0,-3
2020-01-15,22-168,WAS,AWAY,CHI,L (-9),1,12:24,2,4,.500,1,1,1.000,0,0,,1,2,3,1,0,0,1,0,5,4.0,-6
2020-01-17,22-170,WAS,AWAY,TOR,L (-29),1,16:26,1,3,.333,0,1,.000,1,1,1.000,0,1,1,0,1,0,3,2,3,-1.2,-11
2020-01-20,22-173,WAS,HOME,DET,W (+6),0,21:36,6,9,.667,1,1,1.000,0,0,,1,5,6,1,0,1,5,3,13,6.5,-1
