DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,28-356,DET,AWAY,IND,W (+9),0,1:04,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2
2019-10-24,28-357,DET,HOME,ATL,L (-17),0,10:13,2,5,.400,1,4,.250,2,2,1.000,0,0,0,1,0,0,0,3,7,3.8,-10
2019-10-26,28-359,DET,HOME,PHI,L (-6),1,21:16,2,6,.333,1,2,.500,1,2,.500,0,2,2,4,2,0,4,4,6,2.0,-3
2019-10-28,28-361,DET,HOME,IND,W (+2),1,21:54,0,4,.000,0,1,.000,2,2,1.000,1,1,2,8,0,0,0,3,2,4.6,+3
2019-10-30,28-363,DET,AWAY,TOR,L (-12),1,21:48,3,8,.375,1,3,.333,0,0,,0,1,1,5,1,0,2,3,7,4.2,-5
2019-11-01,29-000,DET,AWAY,CHI,L (-6),1,16:48,1,7,.143,0,0,,1,2,.500,1,1,2,2,2,0,0,1,3,2.1,-18
2019-11-11,29-010,DET,HOME,MIN,L (-6),0,10:12,0,3,.000,0,2,.000,0,0,,1,0,1,4,1,0,1,1,0,1.0,+2
2019-11-12,29-011,DET,AWAY,MIA,L (-9),0,13:08,0,3,.000,0,1,.000,3,4,.750,0,0,0,5,2,1,3,1,3,3.3,+10
2019-11-22,29-021,DET,HOME,ATL,W (+25),0,2:37,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-4
2019-11-23,29-022,DET,AWAY,MIL,L (-14),0,4:43,0,1,.000,0,0,,2,2,1.000,0,0,0,1,0,0,1,1,2,0.6,-3
2019-12-01,29-030,DET,HOME,SAS,W (+34),0,4:47,0,1,.000,0,0,,0,0,,0,1,1,3,0,0,0,0,0,1.7,+8
2019-12-03,29-032,DET,AWAY,CLE,W (+33),0,7:16,1,2,.500,0,0,,0,0,,1,1,2,3,0,1,0,1,2,4.4,-2
2019-12-04,29-033,DET,HOME,MIL,L (-24),0,2:41,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,1.0,-3
2019-12-12,29-041,DET,HOME,DAL,L (-11),0,1:39,0,1,.000,0,0,,2,2,1.000,0,0,0,2,0,0,0,0,2,2.7,+6
2019-12-20,29-049,DET,AWAY,BOS,L (-21),0,7:08,1,1,1.000,0,0,,0,0,,0,0,0,5,0,0,0,1,2,4.8,+6
2019-12-21,29-050,DET,HOME,CHI,L (-12),0,28:24,5,6,.833,1,1,1.000,2,2,1.000,1,1,2,9,1,0,1,3,13,16.9,-6
2019-12-23,29-052,DET,HOME,PHI,L (-16),1,22:42,3,5,.600,1,2,.500,0,0,,0,1,1,5,1,0,2,4,7,5.9,-13
2019-12-26,29-055,DET,HOME,WAS,W (+30),1,26:55,5,8,.625,5,6,.833,2,2,1.000,0,2,2,6,0,0,1,1,17,16.8,+21
2019-12-28,29-057,DET,AWAY,SAS,L (-27),1,22:17,3,6,.500,0,1,.000,1,2,.500,0,1,1,4,0,0,2,4,7,3.1,-18
2019-12-30,29-059,DET,AWAY,UTA,L (-23),1,17:09,3,7,.429,0,0,,0,0,,1,2,3,3,1,0,4,1,6,2.3,-15
2020-01-02,29-062,DET,AWAY,LAC,L (-14),1,11:53,0,1,.000,0,0,,0,0,,2,2,4,2,1,0,3,1,0,0.3,-5
2020-01-04,29-064,DET,AWAY,GSW,W (+7),1,17:19,4,5,.800,0,0,,0,0,,0,0,0,5,1,1,1,2,8,9.5,+2
2020-01-05,29-065,DET,AWAY,LAL,L (-7),1,5:20,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,2,0,0,-2.7,-11
2020-01-15,29-075,DET,AWAY,BOS,W (+13),0,19:16,0,3,.000,0,0,,1,2,.500,0,3,3,3,0,0,1,2,1,-0.3,+1
2020-01-18,29-078,DET,AWAY,ATL,W (+33),0,21:41,1,4,.250,0,3,.000,0,0,,1,1,2,7,0,0,6,2,2,-1.3,+9
2020-01-20,29-080,DET,AWAY,WAS,L (-6),0,10:52,0,2,.000,0,1,.000,0,0,,0,2,2,3,1,1,0,3,0,1.8,+1
2020-01-24,29-084,DET,HOME,MEM,L (-13),0,3:48,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-9
