DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,27-347,DET,AWAY,IND,W (+9),1,31:53,4,7,.571,2,4,.500,0,0,,0,2,2,2,0,0,1,4,10,6.1,+11
2019-10-24,27-348,DET,HOME,ATL,L (-17),1,33:36,3,8,.375,3,7,.429,0,0,,1,1,2,2,0,1,0,2,9,6.9,-17
2019-10-26,27-350,DET,HOME,PHI,L (-6),1,24:57,1,4,.250,1,3,.333,0,0,,0,1,1,6,2,0,0,3,3,5.9,-10
2019-10-28,27-352,DET,HOME,IND,W (+2),1,22:19,3,6,.500,2,5,.400,0,0,,0,2,2,1,0,0,1,1,8,4.9,0
2019-10-30,27-354,DET,AWAY,TOR,L (-12),1,18:49,2,7,.286,2,4,.500,0,0,,1,0,1,2,0,0,0,0,6,4.0,-16
2019-11-01,27-356,DET,AWAY,CHI,L (-6),1,27:20,2,5,.400,0,3,.000,2,2,1.000,0,0,0,2,1,0,0,2,6,4.9,-12
2019-11-02,27-357,DET,HOME,BRK,W (+4),1,30:36,4,9,.444,2,5,.400,0,0,,1,3,4,0,1,1,0,1,10,8.2,+5
2019-11-04,27-359,DET,AWAY,WAS,L (-16),1,33:51,4,14,.286,3,9,.333,0,0,,0,1,1,0,0,0,0,0,11,3.1,-24
2019-11-06,27-361,DET,HOME,NYK,W (+20),1,32:23,9,9,1.000,6,6,1.000,0,0,,0,1,1,2,1,0,0,3,24,22.8,+20
2019-11-08,27-363,DET,AWAY,IND,L (-6),1,33:10,4,10,.400,3,8,.375,0,0,,2,0,2,2,1,0,2,3,11,6.2,0
2019-11-11,28-001,DET,HOME,MIN,L (-6),1,30:59,5,7,.714,4,6,.667,2,2,1.000,0,1,1,3,1,0,2,3,16,13.3,+6
2019-11-12,28-002,DET,AWAY,MIA,L (-9),1,23:38,2,7,.286,2,6,.333,0,0,,0,1,1,1,0,0,0,0,6,2.9,-17
2019-11-15,28-005,DET,AWAY,CHO,L (-3),1,8:36,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,+7
2019-11-27,28-017,DET,AWAY,CHO,L (-1),0,19:31,0,2,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,2,0,-1.3,+6
2019-11-29,28-019,DET,HOME,CHO,L (-3),0,20:57,3,4,.750,3,4,.750,0,0,,0,4,4,2,0,0,3,0,9,7.0,+5
2019-12-01,28-021,DET,HOME,SAS,W (+34),1,17:20,2,5,.400,1,3,.333,0,0,,0,1,1,1,0,0,0,3,5,2.1,+6
2019-12-03,28-023,DET,AWAY,CLE,W (+33),1,22:01,1,2,.500,0,1,.000,0,0,,0,3,3,0,0,0,0,4,2,0.3,+6
2019-12-04,28-024,DET,HOME,MIL,L (-24),1,26:45,3,6,.500,1,4,.250,0,0,,0,1,1,2,0,0,0,3,7,4.5,-22
2019-12-06,28-026,DET,HOME,IND,W (+7),1,25:53,2,3,.667,1,1,1.000,0,0,,0,2,2,0,0,0,0,1,5,3.9,-3
2019-12-09,28-029,DET,AWAY,NOP,W (+2),1,23:37,2,5,.400,2,5,.400,0,0,,0,3,3,1,1,0,1,1,6,4.5,-3
