DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,25-360,MIN,AWAY,BRK,W (+1),1,34:35,4,13,.308,0,3,.000,1,1,1.000,2,4,6,4,1,0,0,2,9,7.1,-5
2019-10-25,25-362,MIN,AWAY,CHO,W (+22),1,22:59,4,8,.500,2,3,.667,2,2,1.000,1,1,2,0,0,0,1,1,12,7.6,-7
2019-10-27,25-364,MIN,HOME,MIA,W (+7),1,19:56,0,5,.000,0,2,.000,0,0,,1,1,2,2,2,0,0,0,0,0.9,-10
2019-10-30,26-002,MIN,AWAY,PHI,L (-22),1,21:00,1,5,.200,0,4,.000,4,4,1.000,0,4,4,0,2,0,1,2,6,4.3,+5
2019-11-02,26-005,MIN,AWAY,WAS,W (+22),1,14:16,2,6,.333,0,2,.000,0,0,,0,3,3,1,0,0,0,5,4,0.2,+7
2019-11-04,26-007,MIN,HOME,MIL,L (-28),1,22:57,1,5,.200,1,4,.250,0,0,,1,1,2,2,2,0,0,1,3,3.9,-27
2019-11-06,26-009,MIN,AWAY,MEM,L (-16),0,31:40,4,9,.444,2,3,.667,0,0,,1,5,6,4,1,1,1,3,10,9.8,-21
2019-11-08,26-011,MIN,HOME,GSW,W (+6),1,32:46,4,7,.571,0,1,.000,0,0,,1,2,3,2,2,0,3,1,8,6.0,+1
2019-11-10,26-013,MIN,HOME,DEN,L (-2),1,35:01,2,7,.286,0,4,.000,5,6,.833,3,1,4,0,1,0,0,2,9,7.1,+9
2019-11-11,26-014,MIN,AWAY,DET,W (+6),1,24:05,6,11,.545,1,3,.333,0,0,,3,3,6,3,0,0,0,5,13,10.8,-6
2019-11-13,26-016,MIN,HOME,SAS,W (+15),1,26:33,1,4,.250,0,2,.000,0,1,.000,0,2,2,1,0,0,1,2,2,-1.3,+14
2019-11-15,26-018,MIN,HOME,WAS,L (-21),1,23:00,2,7,.286,0,4,.000,0,0,,1,4,5,2,1,0,1,3,4,2.0,-12
2019-11-16,26-019,MIN,HOME,HOU,L (-20),1,27:46,3,10,.300,1,5,.200,2,4,.500,3,3,6,0,0,0,0,3,9,4.2,-13
2019-11-18,26-021,MIN,AWAY,UTA,W (+10),1,24:53,0,4,.000,0,3,.000,0,0,,0,3,3,0,0,0,1,6,0,-5.3,+4
2019-11-20,26-023,MIN,HOME,UTA,L (-8),1,19:05,3,9,.333,2,7,.286,0,0,,1,4,5,0,0,0,1,1,8,3.4,-15
2019-11-25,26-028,MIN,AWAY,ATL,W (+12),1,22:56,3,5,.600,1,2,.500,0,0,,0,4,4,1,0,1,1,5,7,4.3,+1
2019-11-27,26-030,MIN,AWAY,SAS,W (+12),1,13:25,1,5,.200,1,3,.333,0,0,,0,2,2,0,0,0,0,0,3,0.5,+8
2019-12-01,26-034,MIN,HOME,MEM,L (-8),1,21:37,1,5,.200,0,1,.000,4,4,1.000,2,3,5,0,0,0,1,3,6,3.0,-10
2019-12-04,26-037,MIN,AWAY,DAL,L (-7),0,11:36,3,5,.600,1,3,.333,0,0,,0,1,1,1,1,0,0,0,7,6.7,+2
2019-12-06,26-039,MIN,AWAY,OKC,L (-12),0,14:25,1,3,.333,0,1,.000,0,0,,3,0,3,0,1,0,1,4,2,0.8,-19
2019-12-08,26-041,MIN,AWAY,LAL,L (-17),0,7:10,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+3
