DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,34-115,SAC,AWAY,PHO,L (-29),0,21:13,2,5,.400,1,2,.500,2,2,1.000,1,2,3,0,0,0,1,2,7,3.8,-9
2019-10-25,34-117,SAC,HOME,POR,L (-10),0,21:13,0,4,.000,0,3,.000,0,0,,0,1,1,2,1,0,1,1,0,-1.5,-12
2019-10-26,34-118,SAC,AWAY,UTA,L (-32),0,23:34,0,2,.000,0,2,.000,0,0,,1,4,5,0,1,0,0,2,0,0.7,-1
2019-10-28,34-120,SAC,HOME,DEN,L (-7),0,22:53,3,5,.600,3,4,.750,0,0,,0,5,5,2,1,0,0,0,9,10.6,+3
2019-10-30,34-122,SAC,HOME,CHO,L (-7),0,21:02,1,4,.250,1,4,.250,0,0,,1,5,6,2,0,0,0,1,3,3.8,-16
2019-11-01,34-124,SAC,HOME,UTA,W (+1),0,32:24,0,0,,0,0,,0,0,,0,5,5,1,1,0,0,1,0,2.8,-2
2019-11-03,34-126,SAC,AWAY,NYK,W (+21),0,24:46,3,8,.375,2,6,.333,0,0,,0,5,5,0,0,0,0,2,8,4.3,+4
2019-11-06,34-129,SAC,AWAY,TOR,L (-4),0,17:11,1,4,.250,1,3,.333,2,2,1.000,1,3,4,2,1,0,1,4,5,4.0,-11
2019-11-08,34-131,SAC,AWAY,ATL,W (+12),0,23:48,5,7,.714,4,6,.667,0,0,,0,2,2,0,2,0,3,4,14,9.1,+12
2019-11-12,34-135,SAC,HOME,POR,W (+8),0,4:27,0,1,.000,0,1,.000,0,1,.000,0,1,1,0,2,0,0,0,0,1.2,0
2019-11-17,34-140,SAC,HOME,BOS,W (+1),0,14:57,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,2,0,-2.9,-10
2019-12-02,34-155,SAC,HOME,CHI,L (-7),0,12:12,0,4,.000,0,3,.000,2,2,1.000,0,1,1,0,1,0,2,0,2,-1.5,-10
2019-12-04,34-157,SAC,AWAY,POR,L (-11),0,35:10,4,10,.400,2,7,.286,1,2,.500,1,5,6,1,1,2,2,2,11,7.7,-5
