DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,23-352,SAS,HOME,NYK,W (+9),1,24:17,3,4,.750,0,1,.000,2,2,1.000,1,10,11,0,0,0,1,4,8,7.5,+9
2019-10-26,23-355,SAS,HOME,WAS,W (+2),1,17:40,1,5,.200,0,0,,0,0,,5,2,7,3,0,0,0,0,2,5.1,+7
2019-10-28,23-357,SAS,HOME,POR,W (+3),1,24:38,0,2,.000,0,2,.000,0,0,,1,7,8,4,0,0,2,2,0,1.4,-3
2019-10-31,23-360,SAS,AWAY,LAC,L (-6),1,12:49,2,2,1.000,0,0,,0,0,,2,2,4,0,0,0,0,1,4,5.0,-4
2019-11-01,23-361,SAS,AWAY,GSW,W (+17),1,28:10,0,4,.000,0,3,.000,0,0,,1,13,14,3,0,0,0,0,0,3.9,+3
2019-11-03,23-363,SAS,HOME,LAL,L (-7),1,14:07,2,3,.667,0,1,.000,0,0,,0,2,2,0,1,0,1,1,4,2.9,-3
2019-11-05,24-000,SAS,AWAY,ATL,L (-8),1,19:41,3,4,.750,1,2,.500,1,4,.250,4,8,12,1,0,1,0,1,8,11.4,-8
2019-11-07,24-002,SAS,HOME,OKC,W (+9),1,20:35,3,5,.600,2,2,1.000,0,0,,3,1,4,1,0,0,0,3,8,7.6,+12
2019-11-09,24-004,SAS,HOME,BOS,L (-20),1,21:23,3,5,.600,3,5,.600,1,1,1.000,0,8,8,0,0,1,2,1,10,8.4,-12
2019-11-11,24-006,SAS,HOME,MEM,L (-4),1,18:05,3,5,.600,1,2,.500,0,0,,2,5,7,0,0,1,0,2,7,7.5,0
2019-11-13,24-008,SAS,AWAY,MIN,L (-15),1,22:00,0,2,.000,0,1,.000,0,0,,1,10,11,3,1,0,3,0,0,2.4,-2
2019-11-15,24-010,SAS,AWAY,ORL,L (-2),1,27:22,3,7,.429,2,4,.500,0,0,,5,7,12,0,0,0,2,3,8,6.7,-11
2019-11-16,24-011,SAS,HOME,POR,L (-5),1,20:07,1,3,.333,1,2,.500,0,0,,0,3,3,3,0,1,1,0,3,4.0,-9
2019-11-18,24-013,SAS,AWAY,DAL,L (-7),1,11:16,0,2,.000,0,2,.000,0,0,,0,1,1,1,1,0,1,0,0,-0.4,-18
2019-11-20,24-015,SAS,AWAY,WAS,L (-6),0,6:52,0,1,.000,0,1,.000,0,0,,0,4,4,0,0,0,0,1,0,0.1,-1
2019-11-22,24-017,SAS,AWAY,PHI,L (-11),0,2:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,0
2019-11-23,24-018,SAS,AWAY,NYK,W (+7),0,15:17,4,5,.800,3,4,.750,1,2,.500,1,1,2,0,0,0,0,1,12,10.3,-2
2019-11-25,24-020,SAS,HOME,LAL,L (-10),0,16:41,1,2,.500,1,1,1.000,0,0,,1,5,6,2,0,1,2,2,3,3.5,+7
2019-11-27,24-022,SAS,HOME,MIN,L (-12),0,5:46,0,1,.000,0,0,,0,0,,1,2,3,1,0,0,0,0,0,1.3,-10
2019-11-29,24-024,SAS,HOME,LAC,W (+10),0,16:54,4,8,.500,2,6,.333,0,0,,1,3,4,3,1,0,0,1,10,10.3,+6
2019-12-01,24-026,SAS,AWAY,DET,L (-34),0,16:32,2,8,.250,1,4,.250,0,0,,0,3,3,0,0,1,1,3,5,-0.4,-16
2019-12-03,24-028,SAS,HOME,HOU,W (+2),0,19:37,3,6,.500,1,3,.333,0,0,,2,7,9,3,2,1,1,1,7,10.9,+7
2019-12-06,24-031,SAS,HOME,SAC,W (+1),0,14:50,0,4,.000,0,2,.000,0,0,,1,3,4,1,1,0,1,0,0,-0.5,-2
2019-12-12,24-037,SAS,HOME,CLE,L (-8),0,5:00,1,3,.333,1,3,.333,0,0,,0,2,2,0,0,0,1,2,3,0.1,-6
2019-12-14,24-039,SAS,AWAY,PHO,W (+2),1,16:46,2,4,.500,0,2,.000,0,0,,0,7,7,2,0,1,1,0,4,5.2,-7
2019-12-16,24-041,SAS,AWAY,HOU,L (-2),1,19:35,3,6,.500,1,3,.333,1,2,.500,0,4,4,0,0,0,0,1,8,5.4,-2
2019-12-19,24-044,SAS,HOME,BRK,W (+13),1,10:34,1,4,.250,0,3,.000,2,2,1.000,1,1,2,1,0,0,0,0,4,3.3,-3
2019-12-21,24-046,SAS,HOME,LAC,L (-25),1,13:34,0,2,.000,0,2,.000,0,0,,0,4,4,1,0,0,0,0,0,0.5,-10
2019-12-23,24-048,SAS,AWAY,MEM,W (+30),1,25:09,7,9,.778,3,4,.750,0,0,,0,8,8,4,0,1,0,2,17,18.6,+36
2019-12-26,24-051,SAS,AWAY,DAL,L (-4),1,21:35,2,6,.333,1,2,.500,0,0,,0,5,5,1,0,0,0,1,5,3.4,-19
2019-12-28,24-053,SAS,HOME,DET,W (+27),1,20:02,2,4,.500,1,2,.500,0,0,,1,2,3,3,1,2,0,2,5,8.0,+16
2019-12-31,24-056,SAS,HOME,GSW,W (+4),1,15:02,1,5,.200,0,1,.000,3,3,1.000,0,3,3,1,0,0,0,1,5,3.1,+2
2020-01-02,24-058,SAS,HOME,OKC,L (-6),1,10:04,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,4,3,-0.3,-9
2020-01-04,24-060,SAS,AWAY,MIL,L (-9),1,24:18,2,8,.250,0,5,.000,4,6,.667,4,10,14,0,0,0,0,3,8,7.0,+10
2020-01-06,24-062,SAS,HOME,MIL,W (+22),1,19:41,2,11,.182,2,6,.333,0,0,,3,9,12,1,1,0,1,1,6,4.2,+4
2020-01-08,24-064,SAS,AWAY,BOS,W (+15),1,17:25,4,4,1.000,1,1,1.000,0,0,,2,3,5,0,1,1,2,2,9,9.0,+9
2020-01-10,24-066,SAS,AWAY,MEM,L (-13),1,15:58,1,5,.200,0,3,.000,0,0,,0,3,3,2,0,0,0,2,2,0.4,-9
2020-01-12,24-068,SAS,AWAY,TOR,W (+1),1,13:48,2,5,.400,0,0,,0,0,,2,3,5,0,0,0,0,1,4,3.2,-3
2020-01-15,24-071,SAS,AWAY,MIA,L (-6),1,27:31,2,7,.286,0,1,.000,0,0,,4,3,7,3,0,1,0,1,4,6.0,-4
2020-01-17,24-073,SAS,HOME,ATL,L (-1),1,19:30,0,3,.000,0,1,.000,0,0,,2,8,10,1,1,2,1,1,0,3.4,+5
2020-01-19,24-075,SAS,HOME,MIA,W (+5),1,20:38,4,6,.667,1,2,.500,0,0,,1,5,6,1,0,0,2,2,9,6.5,-10
2020-01-20,24-076,SAS,AWAY,PHO,W (+2),1,20:44,1,3,.333,0,1,.000,0,0,,0,5,5,2,1,0,0,2,2,3.4,+21
2020-01-22,24-078,SAS,AWAY,NOP,W (+4),1,15:47,2,3,.667,1,2,.500,0,0,,0,3,3,0,1,0,1,4,5,3.0,+9
2020-01-24,24-080,SAS,HOME,PHO,L (-4),1,18:44,1,6,.167,1,3,.333,0,0,,3,5,8,0,0,0,1,2,3,1.0,-8
2020-01-26,24-082,SAS,HOME,TOR,L (-4),1,5:40,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-6
2020-01-27,24-083,SAS,AWAY,CHI,L (-1),1,26:02,3,7,.429,2,4,.500,2,4,.500,3,5,8,1,0,1,0,1,10,10.1,+2
2020-01-29,24-085,SAS,HOME,UTA,W (+7),1,11:54,3,6,.500,0,2,.000,0,0,,0,4,4,0,0,0,0,1,6,3.8,-3
2020-02-01,24-088,SAS,HOME,CHO,W (+24),1,27:34,4,6,.667,2,3,.667,1,2,.500,1,4,5,0,1,0,1,1,11,9.5,+3
2020-02-03,24-090,SAS,AWAY,LAC,L (-3),1,25:50,4,8,.500,2,6,.333,0,0,,2,3,5,0,0,1,0,3,10,7.8,0
2020-02-04,24-091,SAS,AWAY,LAL,L (-27),1,16:44,1,5,.200,1,3,.333,0,0,,0,1,1,0,0,0,0,1,3,-0.2,-10
2020-02-06,24-093,SAS,AWAY,POR,L (-8),1,33:57,9,11,.818,4,6,.667,1,1,1.000,1,9,10,0,2,0,0,4,23,22.7,+5
2020-02-08,24-095,SAS,AWAY,SAC,L (-20),1,17:50,2,5,.400,0,1,.000,1,1,1.000,0,3,3,0,0,0,0,3,5,2.0,+6
2020-02-10,24-097,SAS,AWAY,DEN,L (-7),1,28:34,4,5,.800,2,2,1.000,0,0,,1,6,7,1,1,1,2,0,10,11.0,+7
2020-02-11,24-098,SAS,AWAY,OKC,W (+8),1,30:45,3,8,.375,0,2,.000,2,2,1.000,0,5,5,1,1,4,1,4,8,7.0,-2
2020-02-21,24-108,SAS,AWAY,UTA,W (+9),1,29:09,3,6,.500,1,2,.500,0,0,,0,6,6,1,1,0,1,3,7,5.3,+23
2020-02-23,24-110,SAS,AWAY,OKC,L (-28),1,18:00,3,4,.750,2,3,.667,0,0,,0,2,2,2,0,0,0,2,8,7.6,-24
2020-02-26,24-113,SAS,HOME,DAL,L (-6),1,24:21,2,6,.333,1,2,.500,1,2,.500,5,4,9,1,0,0,2,2,6,4.8,-3
2020-02-29,24-116,SAS,HOME,ORL,W (+1),1,39:48,8,13,.615,2,4,.500,2,2,1.000,0,9,9,2,4,1,1,3,20,20.7,+14
2020-03-02,24-118,SAS,HOME,IND,L (-5),1,36:38,8,17,.471,4,7,.571,0,0,,1,5,6,0,1,2,1,0,20,14.9,-8
2020-03-03,24-119,SAS,AWAY,CHO,W (+1),1,32:49,2,8,.250,1,6,.167,1,1,1.000,0,3,3,2,2,0,0,1,6,5.1,-5
2020-03-06,24-122,SAS,AWAY,BRK,L (-19),1,23:22,6,12,.500,5,7,.714,2,2,1.000,0,2,2,2,0,1,0,3,19,14.5,-20
2020-03-08,24-124,SAS,AWAY,CLE,L (-3),1,41:17,4,10,.400,0,3,.000,5,6,.833,1,8,9,2,1,1,1,2,13,11.6,-12
2020-03-10,24-126,SAS,HOME,DAL,W (+10),1,32:11,5,9,.556,4,7,.571,0,0,,1,10,11,2,1,1,1,2,14,14.7,+5
