DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,28-224,CLE,AWAY,ORL,L (-9),1,33:15,8,11,.727,0,0,,0,0,,2,9,11,1,0,1,1,2,16,15.2,0
2019-10-26,28-227,CLE,HOME,IND,W (+11),1,34:42,11,16,.688,1,2,.500,2,2,1.000,5,8,13,0,0,3,0,2,25,25.4,+23
2019-10-28,28-229,CLE,AWAY,MIL,L (-17),1,33:25,8,18,.444,0,0,,1,2,.500,5,8,13,4,0,0,0,3,17,14.7,-19
2019-10-30,28-231,CLE,HOME,CHI,W (+6),1,35:01,11,19,.579,0,0,,1,3,.333,5,5,10,2,0,5,1,3,23,21.0,-2
2019-11-01,28-233,CLE,AWAY,IND,L (-7),1,31:28,3,8,.375,0,0,,1,2,.500,1,8,9,4,2,0,0,6,7,7.7,+10
2019-11-03,28-235,CLE,HOME,DAL,L (-20),1,30:56,4,10,.400,0,0,,3,9,.333,6,6,12,4,2,1,0,0,11,14.7,-8
2019-11-05,28-237,CLE,HOME,BOS,L (-6),1,37:04,7,15,.467,0,1,.000,5,6,.833,8,5,13,4,0,1,1,3,19,19.3,+3
2019-11-08,28-240,CLE,AWAY,WAS,W (+13),1,35:58,8,12,.667,0,0,,5,6,.833,9,3,12,3,3,2,2,2,21,26.3,+11
2019-11-10,28-242,CLE,AWAY,NYK,W (+21),1,30:46,4,9,.444,0,0,,1,2,.500,3,6,9,1,1,1,1,4,9,7.6,+33
2019-11-12,28-244,CLE,AWAY,PHI,L (-1),1,32:33,7,13,.538,2,3,.667,1,2,.500,4,8,12,0,1,0,3,3,17,12.3,-2
2019-11-14,28-246,CLE,HOME,MIA,L (-11),1,22:49,1,3,.333,0,0,,0,0,,2,1,3,1,1,1,4,3,2,-0.8,-15
2019-11-17,28-249,CLE,HOME,PHI,L (-19),1,27:56,5,11,.455,0,1,.000,2,2,1.000,2,7,9,3,1,3,3,1,12,11.6,-10
2019-11-18,28-250,CLE,AWAY,NYK,L (-18),1,24:58,3,6,.500,0,0,,3,4,.750,3,2,5,2,0,1,5,4,9,3.8,-29
2019-11-22,28-254,CLE,AWAY,DAL,L (-42),1,26:04,5,11,.455,0,0,,0,1,.000,3,5,8,4,0,1,0,1,10,10.6,-20
2019-11-23,28-255,CLE,HOME,POR,W (+6),1,35:53,9,18,.500,0,0,,7,7,1.000,4,6,10,2,2,0,2,2,25,21.2,+1
2019-11-25,28-257,CLE,HOME,BRK,L (-2),1,31:54,3,8,.375,0,0,,1,4,.250,2,8,10,2,0,2,3,2,7,4.2,-6
2019-11-27,28-259,CLE,HOME,ORL,L (-12),1,31:23,5,7,.714,0,0,,3,4,.750,5,10,15,2,1,0,1,0,13,17.6,-12
2019-11-29,28-261,CLE,HOME,MIL,L (-9),1,30:46,5,12,.417,0,0,,1,4,.250,5,8,13,3,1,0,1,4,11,9.8,-2
2019-12-03,28-265,CLE,HOME,DET,L (-33),1,30:12,4,11,.364,0,0,,2,4,.500,6,8,14,0,0,1,1,2,10,8.6,-15
