DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-30,20-094,WAS,HOME,HOU,L (-1),0,16:43,5,7,.714,2,4,.500,2,2,1.000,1,2,3,0,0,0,1,2,14,10.6,+12
2019-11-02,20-097,WAS,HOME,MIN,L (-22),0,21:49,2,4,.500,0,1,.000,0,0,,2,3,5,2,3,1,0,1,4,9.0,-8
2019-11-04,20-099,WAS,HOME,DET,W (+16),0,30:30,5,10,.500,0,1,.000,4,4,1.000,2,8,10,4,3,0,1,1,14,17.2,+16
2019-11-06,20-101,WAS,AWAY,IND,L (-15),0,17:10,3,9,.333,1,3,.333,0,0,,1,1,2,0,0,0,1,0,7,1.9,-17
2019-11-08,20-103,WAS,HOME,CLE,L (-13),1,19:10,1,8,.125,1,2,.500,0,0,,5,1,6,1,2,0,3,2,3,0.5,-13
2019-11-13,20-108,WAS,AWAY,BOS,L (-7),1,27:26,3,4,.750,1,2,.500,0,0,,0,2,2,5,0,0,0,1,7,9.1,-1
2019-11-15,20-110,WAS,AWAY,MIN,W (+21),1,26:27,5,8,.625,0,2,.000,1,2,.500,1,6,7,2,2,0,1,0,11,11.9,+9
2019-11-17,20-112,WAS,AWAY,ORL,L (-4),1,23:54,1,5,.200,0,2,.000,0,0,,1,6,7,2,0,0,1,1,2,1.4,-14
2019-11-20,20-115,WAS,HOME,SAS,W (+6),1,19:34,2,3,.667,1,1,1.000,0,0,,1,4,5,4,1,0,0,3,5,8.2,+1
2019-11-22,20-117,WAS,HOME,CHO,W (+7),1,20:11,2,6,.333,0,2,.000,0,0,,1,5,6,2,0,0,3,1,4,0.8,-3
2019-11-24,20-119,WAS,HOME,SAC,L (-7),1,14:36,0,6,.000,0,1,.000,0,0,,0,2,2,3,1,0,0,2,0,-1.3,-2
