DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-29,25-141,ATL,AWAY,MIA,L (-15),0,14:27,1,2,.500,0,0,,4,6,.667,2,1,3,2,1,0,0,2,6,7.5,+2
2019-10-31,25-143,ATL,HOME,MIA,L (-9),0,19:28,6,10,.600,0,2,.000,0,0,,0,3,3,2,0,0,3,2,12,5.9,+9
2019-11-05,25-148,ATL,HOME,SAS,W (+8),0,6:18,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,0.6,-1
2019-11-06,25-149,ATL,HOME,CHI,L (-20),0,16:05,1,3,.333,0,1,.000,0,2,.000,0,2,2,1,1,0,3,4,2,-2.8,-5
2019-11-08,25-151,ATL,HOME,SAC,L (-12),0,7:10,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,-6
2019-11-10,25-153,ATL,AWAY,POR,L (-11),0,16:52,1,2,.500,0,1,.000,2,3,.667,0,2,2,1,0,0,0,1,4,3.5,+8
2019-11-12,25-155,ATL,AWAY,DEN,W (+4),0,8:50,0,3,.000,0,2,.000,3,4,.750,1,3,4,0,0,0,1,4,3,-0.5,-9
2019-11-14,25-157,ATL,AWAY,PHO,L (-16),0,17:07,0,5,.000,0,2,.000,0,0,,0,3,3,4,1,0,2,3,0,-2.0,+5
2019-11-16,25-159,ATL,AWAY,LAC,L (-49),0,10:53,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,1.3,-17
2019-11-17,25-160,ATL,AWAY,LAL,L (-21),0,2:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
2019-11-22,25-165,ATL,AWAY,DET,L (-25),0,9:32,1,4,.250,0,1,.000,0,0,,0,0,0,2,2,0,0,0,2,3.0,-7
2019-11-30,25-173,ATL,AWAY,HOU,L (-47),0,16:37,2,7,.286,1,4,.250,0,0,,0,3,3,0,0,1,0,1,5,2.1,-23
2019-12-02,25-175,ATL,HOME,GSW,W (+25),0,10:34,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,1,0,1.3,+9
2019-12-04,25-177,ATL,HOME,BRK,L (-12),0,3:57,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,1,0,-1.8,+1
