DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-24,37-022,HOU,HOME,MIL,L (-6),0,10:31,5,6,.833,0,0,,0,1,.000,1,4,5,0,0,0,0,3,10,8.1,-1
2019-10-26,37-024,HOU,HOME,NOP,W (+3),0,6:54,1,1,1.000,0,0,,0,0,,1,1,2,0,1,0,1,1,2,2.3,-2
2019-10-28,37-026,HOU,HOME,OKC,W (+4),0,2:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-12
2019-10-30,37-028,HOU,AWAY,WAS,W (+1),0,3:37,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,0
2019-11-01,37-030,HOU,AWAY,BRK,L (-7),0,14:45,0,0,,0,0,,0,0,,3,5,8,0,2,1,0,2,0,5.5,+13
2019-11-03,37-032,HOU,AWAY,MIA,L (-29),0,2:30,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-6
2019-11-04,37-033,HOU,AWAY,MEM,W (+7),0,7:23,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,2,0,0.2,+11
2019-11-06,37-035,HOU,HOME,GSW,W (+17),0,2:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
2019-11-11,37-040,HOU,AWAY,NOP,W (+6),0,9:54,1,1,1.000,0,0,,0,0,,0,3,3,0,0,1,0,4,2,1.7,+22
2019-11-13,37-042,HOU,HOME,LAC,W (+9),0,16:09,1,1,1.000,0,0,,3,4,.750,2,7,9,0,0,2,0,0,5,9.2,+13
2019-11-15,37-044,HOU,HOME,IND,W (+9),1,24:48,1,2,.500,0,0,,0,0,,4,2,6,0,1,1,1,2,2,4.3,+24
2019-11-16,37-045,HOU,AWAY,MIN,W (+20),1,17:23,0,2,.000,0,0,,0,0,,3,1,4,4,0,1,0,1,0,4.1,-6
2019-11-20,37-049,HOU,AWAY,DEN,L (-10),0,8:53,1,1,1.000,0,0,,0,0,,2,1,3,0,0,1,2,1,2,1.7,-14
2019-11-22,37-051,HOU,AWAY,LAC,L (-3),0,6:53,0,0,,0,0,,1,2,.500,2,1,3,0,0,0,1,2,1,0.5,-3
2019-11-24,37-053,HOU,HOME,DAL,L (-14),0,3:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-9
2019-11-27,37-056,HOU,HOME,MIA,W (+9),1,7:38,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,2,1,-0.9,+6
2019-11-30,37-059,HOU,HOME,ATL,W (+47),1,9:36,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,2,3.0,+19
2019-12-03,37-062,HOU,AWAY,SAS,L (-2),0,7:21,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,2,1.9,-10
2019-12-19,37-078,HOU,AWAY,LAC,W (+5),0,6:41,0,0,,0,0,,0,0,,2,2,4,0,0,0,0,0,0,2.0,-10
2019-12-21,37-080,HOU,AWAY,PHO,W (+14),0,4:13,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,+4
2019-12-25,37-084,HOU,AWAY,GSW,L (-12),0,4:22,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-6
2019-12-28,37-087,HOU,HOME,BRK,W (+10),1,13:50,1,1,1.000,0,0,,1,4,.250,1,4,5,0,1,1,0,1,3,4.7,+6
2020-01-11,37-101,HOU,HOME,MIN,W (+30),0,15:22,0,0,,0,0,,0,0,,2,0,2,0,0,0,0,3,0,0.2,-3
2020-01-14,37-104,HOU,AWAY,MEM,L (-11),0,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-18,37-108,HOU,HOME,LAL,L (-9),0,9:45,0,0,,0,0,,0,0,,1,2,3,0,0,0,1,3,0,-0.9,-7
2020-02-09,37-130,HOU,HOME,UTA,L (-1),0,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
