DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,31-328,NYK,AWAY,SAS,L (-9),0,12:56,1,4,.250,1,4,.250,0,0,,0,1,1,1,0,1,2,1,3,-0.1,-13
2019-10-25,31-330,NYK,AWAY,BRK,L (-4),0,11:14,3,4,.750,3,4,.750,0,0,,0,2,2,0,0,0,2,0,9,6.0,+5
2019-10-28,31-333,NYK,HOME,CHI,W (+7),0,21:47,3,8,.375,2,7,.286,0,0,,0,2,2,2,0,0,0,0,8,5.6,+21
2019-10-30,31-335,NYK,AWAY,ORL,L (-12),1,19:10,1,8,.125,0,5,.000,0,1,.000,0,2,2,0,0,0,0,1,2,-3.4,-17
2019-11-01,31-337,NYK,AWAY,BOS,L (-2),0,24:25,3,10,.300,3,10,.300,0,0,,0,5,5,3,1,0,1,2,9,6.0,+8
2019-11-03,31-339,NYK,HOME,SAC,L (-21),0,24:54,1,4,.250,1,4,.250,0,0,,0,1,1,1,1,0,1,4,3,0.0,-3
2019-11-06,31-342,NYK,AWAY,DET,L (-20),0,14:19,1,5,.200,0,4,.000,0,0,,0,0,0,2,0,0,0,0,2,0.3,-8
2019-11-10,31-346,NYK,HOME,CLE,L (-21),0,8:30,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,2,1,3,0.2,-5
2019-11-14,31-350,NYK,HOME,DAL,W (+3),0,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
2019-11-16,31-352,NYK,HOME,CHO,L (-1),0,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
2019-11-18,31-354,NYK,HOME,CLE,W (+18),0,9:09,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,1,3,2.9,+11
2019-11-23,31-359,NYK,HOME,SAS,L (-7),0,21:28,4,11,.364,4,10,.400,1,2,.500,0,1,1,1,0,0,1,2,13,5.7,+5
2019-11-24,31-360,NYK,HOME,BRK,L (-2),0,28:19,4,8,.500,4,7,.571,0,0,,0,3,3,2,0,0,0,2,12,9.5,+2
2019-11-27,31-363,NYK,AWAY,TOR,L (-28),0,16:37,1,5,.200,1,5,.200,3,3,1.000,0,3,3,1,0,1,1,0,6,4.2,-12
2019-11-29,32-000,NYK,HOME,PHI,L (-6),0,12:13,0,3,.000,0,3,.000,0,0,,0,1,1,1,0,0,0,1,0,-1.5,-6
2019-12-01,32-002,NYK,HOME,BOS,L (-9),0,12:52,1,2,.500,0,0,,0,0,,1,2,3,1,0,0,1,4,2,0.4,-3
2019-12-02,32-003,NYK,AWAY,MIL,L (-44),0,8:20,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-10
2019-12-05,32-006,NYK,HOME,DEN,L (-37),0,10:46,1,3,.333,0,1,.000,0,0,,0,1,1,1,3,0,1,0,2,3.3,-5
2020-01-03,32-035,NYK,AWAY,PHO,L (-8),0,5:22,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,0.6,+1
2020-01-07,32-039,NYK,AWAY,LAL,L (-30),0,14:45,1,5,.200,1,3,.333,0,0,,0,1,1,1,2,0,1,1,3,1.5,-1
2020-01-08,32-040,NYK,AWAY,UTA,L (-24),0,22:07,4,6,.667,3,5,.600,0,0,,0,3,3,2,0,0,1,0,11,9.7,+6
2020-01-10,32-042,NYK,HOME,NOP,L (-12),0,12:32,0,4,.000,0,2,.000,0,0,,1,2,3,1,1,0,0,0,0,0.2,-5
2020-01-14,32-046,NYK,AWAY,MIL,L (-26),0,17:48,1,2,.500,0,1,.000,0,0,,0,0,0,2,0,0,0,1,2,2.0,+1
2020-01-29,32-061,NYK,HOME,MEM,L (-21),0,8:10,0,2,.000,0,2,.000,2,2,1.000,0,1,1,0,1,0,0,0,2,1.9,0
2020-02-06,32-069,NYK,HOME,ORL,W (+2),0,17:49,4,7,.571,4,6,.667,0,0,,0,1,1,0,0,0,0,3,12,7.8,+5
2020-02-08,32-071,NYK,AWAY,DET,W (+3),0,26:50,6,12,.500,3,7,.429,2,2,1.000,2,3,5,3,0,0,0,1,17,15.0,+7
2020-02-09,32-072,NYK,AWAY,ATL,L (-5),0,31:42,5,10,.500,5,9,.556,0,0,,0,1,1,1,2,0,1,2,15,11.2,0
2020-02-12,32-075,NYK,HOME,WAS,L (-18),0,14:58,1,4,.250,0,2,.000,3,3,1.000,0,0,0,1,0,0,0,0,5,3.3,-7
2020-02-27,32-090,NYK,AWAY,PHI,L (-9),0,8:45,0,2,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,1,0,-0.8,-11
2020-02-29,32-092,NYK,HOME,CHI,W (+10),0,14:57,2,5,.400,2,5,.400,0,0,,0,1,1,0,0,0,1,4,6,1.0,-7
2020-03-02,32-094,NYK,HOME,HOU,W (+2),0,19:13,5,8,.625,5,8,.625,0,0,,0,3,3,2,0,2,0,1,15,14.7,+1
2020-03-04,32-096,NYK,HOME,UTA,L (-8),0,25:04,1,6,.167,1,5,.200,0,0,,0,3,3,4,0,0,0,2,3,2.1,0
2020-03-06,32-098,NYK,HOME,OKC,L (-23),0,13:13,1,4,.250,1,2,.500,0,0,,0,1,1,4,0,0,0,1,3,3.3,0
2020-03-08,32-100,NYK,HOME,DET,W (+12),0,22:30,2,6,.333,2,5,.400,0,0,,0,5,5,2,0,0,1,2,6,3.7,+10
2020-03-10,32-102,NYK,AWAY,WAS,L (-7),0,16:04,2,6,.333,2,6,.333,0,0,,0,4,4,2,1,0,1,1,6,4.8,+8
2020-03-11,32-103,NYK,AWAY,ATL,W (+5),0,9:23,0,3,.000,0,3,.000,0,0,,0,2,2,2,0,0,0,1,0,-0.5,+1
