DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-01,24-316,ORL,HOME,MIL,L (-32),0,12:44,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,0,2,0,2,-2.1,-22
2019-11-06,24-321,ORL,AWAY,DAL,L (-1),0,6:46,0,4,.000,0,3,.000,2,4,.500,1,3,4,0,0,0,0,1,2,-0.4,-1
2019-11-08,24-323,ORL,HOME,MEM,W (+32),0,8:27,0,3,.000,0,1,.000,0,0,,0,3,3,1,0,0,0,0,0,-0.5,-6
2019-11-15,24-330,ORL,HOME,SAS,W (+2),0,6:58,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,1,2,2.3,-13
2019-11-17,24-332,ORL,HOME,WAS,W (+4),0,11:46,0,0,,0,0,,2,2,1.000,0,2,2,0,1,1,0,0,2,4.3,-2
2019-11-20,24-335,ORL,AWAY,TOR,L (-16),0,12:11,1,2,.500,0,1,.000,5,6,.833,2,2,4,2,0,0,1,0,7,8.0,-2
2019-11-23,24-338,ORL,AWAY,IND,L (-5),1,26:31,2,5,.400,0,1,.000,0,0,,0,1,1,1,2,0,0,1,4,3.9,+19
2019-11-25,24-340,ORL,AWAY,DET,L (-15),1,22:38,1,6,.167,1,1,1.000,0,0,,0,2,2,1,0,0,1,2,3,-1.3,-7
2019-11-27,24-342,ORL,AWAY,CLE,W (+12),1,23:49,3,7,.429,0,1,.000,2,2,1.000,0,3,3,1,1,1,0,3,8,6.4,+11
2019-12-01,24-346,ORL,HOME,GSW,W (+4),0,10:11,0,2,.000,0,0,,2,2,1.000,1,0,1,0,1,0,0,0,2,2.3,+5
2019-12-04,24-349,ORL,HOME,PHO,W (+14),0,18:47,2,2,1.000,0,0,,0,0,,0,2,2,2,0,1,0,1,4,5.7,+20
2019-12-11,24-356,ORL,HOME,LAL,L (-9),0,16:59,3,6,.500,0,2,.000,0,0,,1,2,3,1,2,0,2,1,6,4.6,0
2019-12-13,24-358,ORL,HOME,HOU,L (-23),0,4:16,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,1.3,-2
2019-12-18,24-363,ORL,AWAY,DEN,L (-9),0,6:12,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,3.7,0
2019-12-20,25-000,ORL,AWAY,POR,L (-15),0,12:34,1,3,.333,0,1,.000,0,0,,3,0,3,3,0,0,0,1,2,4.1,+2
2019-12-23,25-003,ORL,HOME,CHI,W (+8),0,16:09,0,4,.000,0,0,,0,0,,0,1,1,0,2,0,1,3,0,-2.7,+8
2019-12-27,25-007,ORL,HOME,PHI,W (+1),0,15:45,0,3,.000,0,0,,0,0,,0,2,2,2,0,1,0,2,0,-0.2,-2
2019-12-28,25-008,ORL,AWAY,MIL,L (-11),0,18:19,1,5,.200,0,3,.000,0,0,,0,4,4,1,0,0,2,3,2,-2.4,-12
2019-12-30,25-010,ORL,HOME,ATL,L (-8),1,24:38,1,3,.333,0,2,.000,2,2,1.000,1,1,2,1,1,1,0,1,4,5.3,-16
2020-01-01,25-012,ORL,AWAY,WAS,W (+21),1,22:01,4,7,.571,0,1,.000,2,2,1.000,1,5,6,1,1,0,1,3,10,8.4,+13
2020-01-03,25-014,ORL,HOME,MIA,W (+20),0,22:11,1,5,.200,1,1,1.000,4,4,1.000,2,4,6,0,1,0,1,2,7,5.7,+17
2020-01-04,25-015,ORL,HOME,UTA,L (-13),1,31:10,3,5,.600,1,1,1.000,2,3,.667,0,4,4,0,0,1,1,2,9,6.4,-4
2020-01-06,25-017,ORL,HOME,BRK,W (+12),1,28:23,4,7,.571,1,3,.333,3,3,1.000,0,3,3,1,1,1,0,3,12,10.8,+11
2020-01-08,25-019,ORL,HOME,WAS,W (+34),0,19:17,3,7,.429,0,0,,1,1,1.000,3,4,7,2,1,0,1,1,7,7.6,-1
2020-01-10,25-021,ORL,AWAY,PHO,L (-4),1,27:58,1,7,.143,0,1,.000,2,2,1.000,2,1,3,1,0,1,1,5,4,-0.4,-4
2020-01-13,25-024,ORL,AWAY,SAC,W (+2),0,18:46,3,7,.429,2,3,.667,0,1,.000,0,2,2,2,0,0,0,2,8,5.1,+6
2020-01-15,25-026,ORL,AWAY,LAL,W (+1),1,31:31,5,9,.556,1,1,1.000,8,10,.800,1,3,4,2,2,0,1,2,19,17.1,0
2020-01-16,25-027,ORL,AWAY,LAC,L (-27),0,27:54,3,8,.375,2,6,.333,0,0,,0,4,4,1,1,1,0,2,8,6.4,-19
