DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-24,33-010,MIL,AWAY,HOU,W (+6),1,30:23,6,12,.500,2,8,.250,0,0,,0,4,4,1,2,1,1,0,14,11.6,+4
2019-10-26,33-012,MIL,HOME,MIA,L (-5),1,30:07,5,9,.556,4,7,.571,0,0,,0,1,1,1,1,0,0,3,14,10.5,-6
2019-10-28,33-014,MIL,HOME,CLE,W (+17),1,28:27,5,9,.556,2,6,.333,2,2,1.000,0,3,3,2,1,0,0,1,14,12.6,+21
2019-10-30,33-016,MIL,AWAY,BOS,L (-11),1,30:05,1,8,.125,1,7,.143,0,0,,0,3,3,3,0,0,0,0,3,0.8,-4
2019-11-01,33-018,MIL,AWAY,ORL,W (+32),1,19:36,0,1,.000,0,1,.000,0,1,.000,0,0,0,0,1,0,0,2,0,-0.9,+2
2019-11-02,33-019,MIL,HOME,TOR,W (+10),1,9:17,1,2,.500,0,1,.000,0,0,,0,2,2,0,1,0,2,1,2,0.2,+10
2019-11-04,33-021,MIL,AWAY,MIN,W (+28),1,21:50,3,6,.500,2,4,.500,0,0,,1,1,2,0,2,0,1,1,8,6.6,+29
2019-11-06,33-023,MIL,AWAY,LAC,W (+5),1,18:06,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1,+8
2019-11-08,33-025,MIL,AWAY,UTA,L (-3),1,22:37,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,1,3,2.6,+5
2019-11-10,33-027,MIL,AWAY,OKC,W (+2),1,31:57,2,5,.400,2,5,.400,0,0,,0,2,2,2,1,0,1,0,6,5.3,+1
2019-11-14,33-031,MIL,HOME,CHI,W (+9),1,26:35,2,6,.333,1,5,.200,10,13,.769,0,4,4,0,0,0,1,1,15,10.2,+4
2019-11-16,33-033,MIL,AWAY,IND,W (+19),1,20:05,2,8,.250,1,3,.333,0,0,,0,5,5,1,0,0,1,2,5,0.6,+8
2019-11-18,33-035,MIL,AWAY,CHI,W (+14),1,17:20,0,0,,0,0,,0,0,,0,1,1,1,1,0,2,1,0,-0.4,+16
2019-11-20,33-037,MIL,AWAY,ATL,W (+8),1,27:37,4,8,.500,2,4,.500,0,0,,0,2,2,3,1,0,0,0,10,9.7,+3
2019-11-21,33-038,MIL,HOME,POR,W (+8),1,29:46,4,9,.444,4,7,.571,0,0,,1,2,3,1,0,0,0,3,12,8.1,+2
2019-11-23,33-040,MIL,HOME,DET,W (+14),1,22:43,4,7,.571,2,5,.400,3,3,1.000,0,0,0,3,0,0,3,0,13,8.8,+20
2019-11-25,33-042,MIL,HOME,UTA,W (+4),1,31:50,6,9,.667,5,8,.625,2,2,1.000,0,4,4,2,0,0,2,4,19,14.1,+6
2019-11-27,33-044,MIL,HOME,ATL,W (+9),1,26:49,4,9,.444,2,6,.333,0,0,,0,1,1,2,0,1,2,1,10,5.3,0
2019-11-29,33-046,MIL,AWAY,CLE,W (+9),1,27:10,2,6,.333,0,1,.000,2,2,1.000,0,3,3,4,0,0,1,2,6,4.5,+1
2019-11-30,33-047,MIL,HOME,CHO,W (+41),1,21:20,5,9,.556,3,6,.500,1,1,1.000,0,3,3,0,0,0,0,0,14,10.6,+30
2019-12-02,33-049,MIL,HOME,NYK,W (+44),1,19:42,2,7,.286,1,5,.200,1,1,1.000,0,1,1,1,0,0,0,2,6,2.1,+27
2019-12-04,33-051,MIL,AWAY,DET,W (+24),1,17:14,3,6,.500,0,3,.000,2,2,1.000,0,1,1,2,1,0,1,1,8,6.3,+9
2019-12-06,33-053,MIL,HOME,LAC,W (+28),1,22:43,3,6,.500,3,5,.600,0,0,,2,5,7,3,0,0,1,1,9,9.6,+18
2019-12-09,33-056,MIL,HOME,ORL,W (+9),1,25:09,2,6,.333,2,4,.500,0,0,,0,1,1,3,1,0,0,2,6,5.2,+12
2019-12-11,33-058,MIL,HOME,NOP,W (+15),1,19:44,3,5,.600,3,5,.600,0,0,,0,1,1,0,1,0,0,2,9,7.2,+12
2019-12-13,33-060,MIL,AWAY,MEM,W (+13),1,25:13,2,6,.333,0,2,.000,0,0,,1,3,4,0,0,0,0,4,4,0.6,+4
2019-12-14,33-061,MIL,HOME,CLE,W (+17),1,17:23,0,3,.000,0,3,.000,0,0,,0,4,4,1,3,0,0,2,0,2.0,+10
2019-12-16,33-063,MIL,HOME,DAL,L (-4),1,24:46,2,6,.333,2,4,.500,0,0,,1,1,2,0,1,0,0,2,6,3.8,-4
2019-12-19,33-066,MIL,HOME,LAL,W (+7),1,30:47,4,9,.444,3,7,.429,2,4,.500,1,3,4,2,3,1,2,4,13,10.6,+3
2019-12-22,33-069,MIL,HOME,IND,W (+28),1,27:51,5,10,.500,4,8,.500,5,5,1.000,0,1,1,1,2,1,1,1,19,16.3,+18
2019-12-25,33-072,MIL,AWAY,PHI,L (-12),1,24:41,2,5,.400,0,1,.000,0,0,,0,2,2,3,0,0,0,1,4,3.6,-19
2019-12-27,33-074,MIL,AWAY,ATL,W (+26),1,19:16,0,3,.000,0,2,.000,0,0,,0,4,4,1,0,1,0,3,0,-0.7,+29
2019-12-28,33-075,MIL,HOME,ORL,W (+11),1,20:48,2,3,.667,0,1,.000,1,3,.333,0,2,2,1,1,0,2,0,5,3.2,-13
2020-01-04,33-082,MIL,HOME,SAS,W (+9),1,26:24,1,9,.111,0,6,.000,0,0,,0,4,4,1,0,0,0,3,2,-3.2,-3
2020-01-06,33-084,MIL,AWAY,SAS,L (-22),1,28:44,4,7,.571,4,6,.667,0,0,,0,1,1,2,1,1,0,1,12,11.7,-6
2020-01-08,33-086,MIL,AWAY,GSW,W (+9),1,27:18,1,4,.250,1,3,.333,0,0,,0,2,2,1,0,0,0,1,3,1.5,+7
