DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-12-15,32-219,BRK,HOME,PHI,W (+20),0,18:41,1,1,1.000,0,0,,0,0,,0,7,7,2,1,1,0,3,2,5.7,+5
2019-12-17,32-221,BRK,AWAY,NOP,W (+7),0,18:00,3,6,.500,1,3,.333,0,0,,0,5,5,2,0,0,2,3,7,3.7,-15
2019-12-19,32-223,BRK,AWAY,SAS,L (-13),0,23:35,3,7,.429,0,3,.000,2,2,1.000,0,2,2,0,1,0,1,1,8,4.5,-21
2019-12-21,32-225,BRK,HOME,ATL,W (+10),0,21:09,2,6,.333,0,2,.000,0,0,,1,4,5,1,1,0,3,1,4,0.8,+7
2019-12-26,32-230,BRK,HOME,NYK,L (-12),0,18:22,2,9,.222,0,6,.000,0,0,,0,4,4,2,0,0,1,2,4,-0.7,-10
2019-12-28,32-232,BRK,AWAY,HOU,L (-10),0,20:14,3,6,.500,1,3,.333,0,0,,0,4,4,1,1,0,0,0,7,6.9,-3
2019-12-30,32-234,BRK,AWAY,MIN,L (-7),0,25:11,5,9,.556,3,6,.500,0,0,,0,5,5,0,0,0,1,2,13,8.4,+1
2020-01-02,32-237,BRK,AWAY,DAL,L (-12),0,24:10,4,4,1.000,1,1,1.000,2,2,1.000,0,3,3,1,0,1,0,1,11,11.7,-19
2020-01-04,32-239,BRK,HOME,TOR,L (-19),0,22:37,0,0,,0,0,,1,2,.500,1,4,5,3,0,2,0,5,1,4.0,-18
2020-01-06,32-241,BRK,AWAY,ORL,L (-12),0,17:39,3,10,.300,1,6,.167,2,2,1.000,1,8,9,3,3,0,4,2,9,6.6,+4
2020-01-07,32-242,BRK,HOME,OKC,L (-8),0,15:56,1,3,.333,0,2,.000,0,0,,0,4,4,0,0,1,2,3,2,-1.0,+2
2020-01-12,32-247,BRK,HOME,ATL,W (+22),0,18:46,1,6,.167,1,4,.250,0,0,,0,5,5,0,0,0,0,3,3,-0.5,-11
2020-01-15,32-250,BRK,AWAY,PHI,L (-11),0,16:08,3,5,.600,2,3,.667,2,2,1.000,0,2,2,1,0,0,0,0,10,9.0,-1
2020-01-18,32-253,BRK,HOME,MIL,L (-20),0,20:10,3,5,.600,2,4,.500,0,0,,0,4,4,2,2,0,2,3,8,7.1,-16
2020-01-23,32-258,BRK,HOME,LAL,L (-15),0,21:32,5,7,.714,4,6,.667,1,1,1.000,0,3,3,1,1,0,1,4,15,12.1,-1
2020-01-25,32-260,BRK,AWAY,DET,W (+10),0,31:02,3,7,.429,1,3,.333,0,0,,2,5,7,1,1,1,1,1,7,7.2,+2
2020-01-26,32-261,BRK,AWAY,NYK,L (-13),0,16:27,3,4,.750,1,2,.500,0,0,,0,3,3,0,0,0,2,3,7,3.1,-10
2020-01-29,32-264,BRK,HOME,DET,W (+10),0,19:32,1,5,.200,1,5,.200,2,3,.667,0,3,3,1,0,0,0,2,5,2.3,-4
2020-01-31,32-266,BRK,HOME,CHI,W (+15),0,20:11,1,3,.333,0,1,.000,0,0,,1,4,5,0,1,1,3,2,2,0.1,-3
2020-02-01,32-267,BRK,AWAY,WAS,L (-6),0,19:27,0,1,.000,0,1,.000,2,2,1.000,0,3,3,0,0,0,0,1,2,1.8,+4
2020-02-03,32-269,BRK,HOME,PHO,W (+22),0,18:10,2,6,.333,2,6,.333,0,0,,1,4,5,2,0,1,0,3,6,5.4,+2
2020-02-05,32-271,BRK,HOME,GSW,W (+41),0,23:22,4,6,.667,1,3,.333,0,0,,0,7,7,3,1,0,2,2,9,8.8,+3
2020-02-08,32-274,BRK,AWAY,TOR,L (-1),0,24:12,1,7,.143,1,7,.143,3,3,1.000,0,2,2,3,1,0,1,4,6,2.6,-1
2020-02-10,32-276,BRK,AWAY,IND,W (+1),0,15:18,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,1,0,0.9,-6
2020-02-12,32-278,BRK,HOME,TOR,W (+10),0,26:57,3,9,.333,2,5,.400,0,0,,1,5,6,1,0,0,1,2,8,4.0,-3
2020-02-20,32-286,BRK,AWAY,PHI,L (-8),0,32:34,4,10,.400,3,6,.500,1,2,.500,1,7,8,0,0,0,0,4,12,7.4,+17
2020-02-22,32-288,BRK,AWAY,CHO,W (+29),0,22:13,0,2,.000,0,2,.000,0,0,,0,3,3,0,1,2,0,2,0,1.1,+8
2020-02-24,32-290,BRK,HOME,ORL,L (-2),0,23:24,2,6,.333,1,5,.200,0,0,,2,2,4,1,0,1,0,1,5,4.6,-12
2020-02-28,32-294,BRK,AWAY,ATL,L (-23),0,18:20,1,3,.333,0,2,.000,0,0,,0,3,3,0,0,0,1,3,2,-1.0,-17
2020-02-29,32-295,BRK,AWAY,MIA,L (-3),0,19:42,4,8,.500,3,5,.600,0,0,,0,1,1,2,0,1,3,3,11,5.2,-8
2020-03-03,32-298,BRK,AWAY,BOS,W (+9),0,17:27,1,5,.200,1,4,.250,0,0,,0,2,2,1,0,0,0,1,3,0.8,-1
2020-03-04,32-299,BRK,HOME,MEM,L (-39),0,17:17,1,4,.250,0,3,.000,0,0,,0,3,3,0,0,0,1,2,2,-1.3,-20
2020-03-06,32-301,BRK,HOME,SAS,W (+19),1,17:49,1,3,.333,1,3,.333,0,0,,0,3,3,0,0,0,0,3,3,1.0,+6
2020-03-08,32-303,BRK,HOME,CHI,W (+3),1,21:58,2,7,.286,2,6,.333,0,0,,0,4,4,1,0,0,0,3,6,2.6,+21
2020-03-10,32-305,BRK,AWAY,LAL,W (+2),1,26:36,1,2,.500,1,2,.500,2,2,1.000,0,5,5,3,0,0,2,3,5,4.4,-2
