DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-11-09,25-027,MEM,HOME,DAL,L (-16),0,2:51,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,4,3.3,+5
2019-12-04,25-052,MEM,AWAY,CHI,L (-7),0,4:28,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9
2019-12-07,25-055,MEM,AWAY,UTA,L (-14),0,3:53,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,1,0,0,3,3.0,+9
2019-12-14,25-062,MEM,HOME,WAS,W (+17),0,7:07,0,1,.000,0,1,.000,0,0,,1,2,3,0,0,0,1,0,0,-0.4,+8
2020-01-29,25-108,MEM,AWAY,NYK,W (+21),0,0:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
2020-01-31,25-110,MEM,AWAY,NOP,L (-28),0,6:43,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,1,0,-1.2,-1
2020-02-05,25-115,MEM,AWAY,DAL,W (+14),0,1:13,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-1
2020-02-07,25-117,MEM,AWAY,PHI,L (-12),0,11:48,3,7,.429,1,2,.500,2,2,1.000,0,1,1,1,1,0,0,1,9,6.9,+3
2020-02-09,25-119,MEM,AWAY,WAS,W (+7),0,10:08,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.2,+7
2020-02-26,25-136,MEM,AWAY,HOU,L (-28),0,16:10,1,6,.167,0,1,.000,0,0,,1,2,3,2,0,0,0,1,2,0.5,-11
2020-02-28,25-138,MEM,HOME,SAC,L (-3),0,4:22,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,1,0,-1.2,-6
2020-02-29,25-139,MEM,HOME,LAL,W (+17),0,12:36,1,2,.500,0,0,,1,2,.500,1,1,2,0,2,0,0,1,3,4.2,-6
2020-03-02,25-141,MEM,AWAY,ATL,W (+39),0,5:25,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,+3
2020-03-04,25-143,MEM,AWAY,BRK,W (+39),0,5:43,2,4,.500,1,3,.333,0,0,,1,1,2,0,1,0,0,1,5,4.6,+7
2020-03-06,25-145,MEM,AWAY,DAL,L (-25),0,4:09,2,2,1.000,0,0,,0,0,,2,0,2,0,1,0,1,0,4,4.8,-4
2020-03-07,25-146,MEM,HOME,ATL,W (+17),0,1:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
